,STATE.x,DIST.x,STATE.y,DIST.y
1,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad
2,Andhra Pradesh,Anantapur,NA,NA
3,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor
4,Andhra Pradesh,Cuddapah,NA,NA
5,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari
6,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur
7,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad
8,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar
9,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam
10,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna
11,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool
12,Andhra Pradesh,Mahbubnagar,NA,NA
13,Andhra Pradesh,Medak,Andhra Pradesh,Medak
14,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda
15,Andhra Pradesh,Nellore,NA,NA
16,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad
17,Andhra Pradesh,Prakasam,NA,NA
18,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam
19,Andhra Pradesh,Vishakhapatnam,NA,NA
20,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal
21,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari
22,Assam,Cachar,Assam,Cachar
23,Assam,Darrang,Assam,Darrang
24,Assam,Garo Hills,NA,NA
25,Assam,Goalpara,Assam,Goalpara
26,Assam,Kameng,NA,NA
27,Assam,Kamrup,Assam,Kamrup
28,Assam,Lakhimpur,Assam,Lakhimpur
29,Assam,Lohit,NA,NA
30,Assam,Mikir Hills,NA,NA
31,Assam,Mizo Hills,NA,NA
32,Assam,Nagaon,Assam,Nagaon
33,Assam,North Cachar Hills,NA,NA
34,Assam,Siang,NA,NA
35,Assam,Sibsagar,Assam,Sibsagar
36,Assam,Subansiri,NA,NA
37,Assam,Tirap,NA,NA
38,Assam,United Khasi and Jaintia Hills,NA,NA
39,Bihar,Bhagalpur,Bihar,Bhagalpur
40,Bihar,Champaran,Bihar,Champaran
41,Bihar,Darbhanga,Bihar,Darbhanga
42,Bihar,Dhanbad,Bihar,Dhanbad
43,Bihar,Gaya,Bihar,Gaya
44,Bihar,Hazaribagh,Bihar,Hazaribagh
45,Bihar,Munger,NA,NA
46,Bihar,Muzaffarpur,Bihar,Muzaffarpur
47,Bihar,Palamu,NA,NA
48,Bihar,Patna,Bihar,Patna
49,Bihar,Purnia,NA,NA
50,Bihar,Ranchi,Bihar,Ranchi
51,Bihar,Saharsa,Bihar,Saharsa
52,Bihar,Santhal Pargana,NA,NA
53,Bihar,Saran,Bihar,Saran
54,Bihar,Shahabad,NA,NA
55,Bihar,Singhbhum,Bihar,Singhbhum
56,Gujarat,Ahmadabad,NA,NA
57,Gujarat,Amreli,Gujarat,Amreli
58,Gujarat,Banas Kantha,NA,NA
59,Gujarat,Bharuch,Gujarat,Bharuch
60,Gujarat,Bhavnagar,Gujarat,Bhavnagar
61,Gujarat,Gandhinagar,NA,NA
62,Gujarat,Jamnagar,Gujarat,Jamnagar
63,Gujarat,Junagadh,Gujarat,Junagadh
64,Gujarat,Kachchh,NA,NA
65,Gujarat,Kheda,Gujarat,Kheda
66,Gujarat,Mahesana,NA,NA
67,Gujarat,Panch Mahals,NA,NA
68,Gujarat,Rajkot,Gujarat,Rajkot
69,Gujarat,Sabar Kantha,NA,NA
70,Gujarat,Surat,Gujarat,Surat
71,Gujarat,Surendranagar,Gujarat,Surendranagar
72,Gujarat,The Dangs,NA,NA
73,Gujarat,Vadodara,NA,NA
74,Gujarat,Valsad,Gujarat,Valsad
75,Haryana,Ambala,Haryana,Ambala
76,Haryana,Gurgaon,Haryana,Gurgaon
77,Haryana,Hisar,NA,NA
78,Haryana,Jind,Haryana,Jind
79,Haryana,Karnal,Haryana,Karnal
80,Haryana,Mahendragarh,NA,NA
81,Haryana,Rohtak,Haryana,Rohtak
82,Himachal Pradesh,Bilaspur,NA,NA
83,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba
84,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra
85,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur
86,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu
87,Himachal Pradesh,Lahul and Spiti,NA,NA
88,Himachal Pradesh,Mahasu,NA,NA
89,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi
90,Himachal Pradesh,Simla,NA,NA
91,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur
92,Kerala,Alleppey,NA,NA
93,Kerala,Calicut,NA,NA
94,Kerala,Cannanore,NA,NA
95,Kerala,Ernakulam,NA,NA
96,Kerala,Kottayam,Kerala,Kottayam
97,Kerala,Palghat,NA,NA
